#      az(d)       el(d) polygon_ids
  30.011637    0.425919  816
  28.867535   -0.811049 2422
  10.772963    0.498755   93
   2.085050   -0.965332 1637
  18.631702    0.336675  563
 349.235199   -0.378040 3062
  28.607445    0.885173  808
 358.526306   -0.352937 3140
  26.217535    0.800476 1048
   3.236795   -0.003853 1646
   4.845070   -0.827262 1653
  31.983431   -0.938342 2446
  15.735645    0.501284  183
  31.958603    0.068810  830
  18.156649    0.458914  421
  33.077663   -0.093741 2453
 352.380676   -0.343390 3082
  17.214043    0.880772  388
  30.545748   -0.373822 2435
   4.029804    0.590576   36
  22.260634   -0.294301 2200
 351.871063   -0.725951 3079
 357.339844   -0.987548 3126
  25.868034   -0.831333 2553
  23.955078    0.282474  939
  25.395639    0.106934  953
  34.623875   -0.838203 2465
   9.422316    0.029680   75
   4.310094   -0.518634 1652
   9.285267    0.482173   75
 351.315704    0.105288 1415
   0.402171    0.053835    0
  32.101128   -0.916300 2446
  31.907148   -0.525230 2446
   2.923934   -0.071932 1646
 357.925507    0.114896 1477
   5.429419   -0.506037 1665
   8.459228   -0.547311 1690
  33.138363   -0.353031 2453
   4.305836   -0.413512 1652
  21.979322   -0.617315 2166
   2.154163    0.856667   19
 354.043671   -0.970796 3097
   5.597872    0.267627   45
  34.024719   -0.701298 2461
  29.431620   -0.364847 2428
  11.524561    0.724391   99
  17.011681    0.685296  138
  33.000233    0.182080  839
  14.513097   -0.054695 1812
  15.406041   -0.043153 2158
  14.532101   -0.398697 2065
  18.079405    0.613281  421
   3.193279   -0.003576 1646
 354.440399    0.552714 1447
  10.239497   -0.881713 1703
 359.354523    0.664126 1491
  20.055845    0.719796  202
  33.144737   -0.871033 2452
   5.403053   -0.554038 1665
  11.837772    0.158968   99
  14.078915    0.064786  116
  12.810827    0.311490  111
 359.362335   -0.405259 3143
  11.794638    0.708447   99
 354.244080    0.318445 1447
   3.824789    0.159883   30
 358.084381    0.293281 1482
 350.465241   -0.202661 3066
 358.125671    0.097781 1482
  26.080423   -0.504108 2750
  24.331005   -0.812994 2699
   6.858478   -0.981600 1671
   1.650230   -0.553458 1635
 358.135437    0.495423 1482
   5.672374    0.240120   45
  27.479677   -0.563564 2585
  21.089579    0.366222  354
  31.897280    0.208126  830
   2.829885    0.876212   25
  22.406769   -0.201963 2083
   8.144273   -0.265864 1687
 355.108887    0.151258 1454
  10.308847   -0.198172 1710
 352.208496    0.683077 1429
 356.739227   -0.053935 3123
 351.806763    0.068463 1423
 343.299805    0.824661 1354
  34.342014    0.183912  847
   6.141229   -0.425938 1668
  17.426578    0.275170  291
   7.789854    0.108910   63
   3.732792   -0.386679 1652
   4.510694   -0.337198 1658
   9.393228    0.544305   81
 351.721039   -0.653274 3075
  29.925697   -0.318769 2429
  19.464012   -0.631209 1950
 354.798309    0.729454 1454
 355.511414    0.562696 1460
   8.075396    0.135366   63
  29.939383   -0.541229 2429
   5.646193   -0.812510 1659
  31.984392   -0.483599 2446
  11.869883    0.672306   99
 357.789734   -0.017118 3136
 356.829559   -0.963954 3121
 352.182953    0.781751 1429
  13.702466    0.714387  116
   9.748477    0.816494   81
   1.682124   -0.200106 1637
  32.761364   -0.152879 2452
   7.692129    0.020649   63
   0.594735   -0.262770 1627
   0.901997    0.319566    8
  18.198603   -0.327426 1887
  20.117308    0.694985  201
  32.283066   -0.890029 2446
 353.474304   -0.905283 3094
   4.712517   -0.666975 1658
   2.592269   -0.617015 1641
 331.567566    0.846237 1203
  19.045572   -0.726172 1930
  33.785229   -0.265200 2461
 356.051056   -0.948490 3116
   1.264530    0.563159   14
  27.889208    0.458006  804
  17.508297   -0.687173 2039
 352.118134   -0.957562 3077
  12.070535   -0.003975 1719
 355.988312    0.800767 1466
  19.346628   -0.402454 1939
  17.468191    0.114822  291
 352.705780   -0.065910 3082
  26.901793    0.598212  894
 356.994507   -0.425891 3246
  34.938320   -0.347411 2465
  29.479439    0.383536  814
  10.101631    0.751171   86
   6.321368   -0.181105 2246
 349.853302    0.478367 1403
  32.894775    0.102211  833
   3.954498    0.292211   30
  28.765654    0.314869  808
 358.137909   -0.257587 3136
  10.621534    0.230904   86
 353.964661    0.834726 1447
  31.736631    0.749677  830
 352.188477   -0.528900 3079
  15.718681   -0.977473 2099
   3.634735    0.438328   30
  31.001453    0.028388  826
 351.316498    0.780513 1423
  23.728640   -0.445678 2829
   6.607768   -0.808352 2246
   6.351243   -0.816181 1666
 358.656280   -0.126283 3140
   1.658320   -0.615639 1635
  28.720844    0.437219  808
  17.739672    0.329565  130
 354.422211   -0.334005 3105
   7.812736    0.892346   61
  11.117709   -0.113143 1716
 344.463776    0.771062 1550
  14.067046   -0.569355 2291
 353.774414   -0.668386 3097
 354.357697   -0.713474 3097
  10.641547   -0.891790 1708
  11.208078   -0.074422 1716
   2.171222    0.622284   19
 356.411163    0.655476 1466
  10.183466   -0.907511 1703
 358.079529   -0.003364 3136
 349.805298   -0.432730 3064
  30.018925    0.439940  816
  34.601952   -0.547149 2465
  24.024832    0.733426 1024
 356.727325   -0.736037 3123
   7.062001    0.872903   57
  32.857456    0.379206 1129
 354.068420   -0.657881 3097
  14.038164   -0.318197 2291
 356.145569    0.230070 1466
   7.757642   -0.833403 1679
  24.411341   -0.863964 2699
  23.699959    0.791104 1014
   6.611775    0.405265   51
  33.633758    0.661325  841
 353.596893   -0.749879 3094
  31.166962   -0.121050 2440
  28.811001    0.192941  808
  27.620893    0.891207  804
 356.450745    0.096773 1466
 350.085571    0.677905 1410
  18.215170   -0.953168 1980
   1.181278    0.395488    8
  13.363420   -0.114759 1731
  16.454493   -0.289521 1807
   6.689641   -0.635292 2246
  31.835131   -0.778447 2443
  24.539402   -0.906056 2699
   9.021931    0.271866   75
  12.496858    0.317540  107
   2.682815   -0.785639 1641
   1.638969   -0.248141 1637
   5.809868   -0.078252 1668
   4.267788   -0.921147 1647
   4.110567    0.609014   36
 349.945404   -0.337026 3064
   7.418607    0.938289   58
   6.916910    1.024378   53
  34.587883   -0.462750 2465
   0.828270    0.356771    8
   6.262271    0.694288   51
 350.786438   -0.799528 3066
  29.895040    0.291911  816
   4.230495   -0.115526 2240
 358.397613   -0.883459 3136
   9.700139    0.150442   81
  19.623789    0.033977  136
   7.053723   -0.166947 1681
