#az(d)       el(d) polygon_ids
  25.706154    0.618442 1080
 347.711700    0.172225 1389
  14.264124    0.235623  151
  27.914629   -0.339733 2416
  34.893867   -0.052934 2465
   4.565652    0.609777   39
  35.671703   -0.296293 2470
   5.918850   -0.451526 1668
  34.680794    0.202709  847
  31.470505   -0.923848 2440
  13.501317   -0.605548 1731
   4.659987    0.825428   40
  15.254217    0.655149  552
   4.712524   -0.666977 1658
 331.785462    0.831176 1210
  32.914661   -0.102026 2452
 354.652332   -0.827443 3240
  32.809122   -0.103197 2452
  18.102306   -0.141077 2076
  26.080423   -0.504108 2750
 350.693970    0.944258 1412
  24.508731    0.618008  900
   4.310082   -0.518633 1652
 356.994483   -0.425884 3246
 357.741150   -0.869421 3126
  32.285347    0.855964  833
   9.285267    0.482173   75
 353.729736   -0.495842 3097
   3.326464    0.415078   27
  13.542853    0.316991  116
 354.716003   -0.395168 3105
   1.650222   -0.553446 1635
  14.934222   -1.039523 2066
  21.998285   -0.024265 2211
  16.566906    0.256664  212
  22.679035   -0.447278 2667
 356.313385   -0.349786 3245
 349.357228    0.614885 1403
 354.377869    0.327193 1447
   9.700140    0.150441   81
   9.500752   -0.985230 2266
  29.764673   -0.819582 2428
 355.450928   -0.946893 3111
  27.718615    0.010278  804
   8.235154    0.347423   68
 350.397766   -0.748797 3066
   6.954348    0.550056   57
  12.412984   -0.116502 1724
  21.122814   -0.062409 2384
  16.358481    0.698181  499
 356.210175   -0.448422 3118
  15.283095    0.907590  395
  18.632974   -0.793589 1931
  26.875343    0.556472  893
  22.235550    1.042881  234
 352.954408   -0.151543 3091
  25.030653    0.135726  883
 348.812408   -0.888571 3055
  12.369577   -0.867725 1717
 331.486420    0.973192 1203
   1.757748    0.777918   14
  12.194901    0.936228  107
 355.318512    0.836674 1460
   8.983523    0.732158   75
 355.589813    0.337437 1460
  22.406772   -0.201940 2083
 334.153412    1.067144 1226
  10.578001    0.543628   86
 357.925507    0.114896 1477
 337.124369    0.332252 1253
   6.361681    0.752310   51
 353.964644    0.834734 1447
   4.890524    1.010128   37
 354.875030    0.504801 1454
  22.343622    0.215460  189
  25.925867   -0.959007 2553
 345.687012    0.749299 1377
  27.739676   -0.763186 2410
  21.353962    0.001119  135
 359.572468   -0.266748 3151
 344.932068    0.547365 1367
  32.046181   -1.040379 2444
  15.718675   -0.977476 2099
  24.088800    1.041112 1014
