#az(d)       el(d) polygon_ids
 353.937744    0.858909 1447
  25.129911   -0.551646 2503
   3.698172    0.820905   30
   6.607766   -0.808350 2246
 350.085558    0.677900 1410
   2.841118   -0.155170 1641
 340.476593    0.017279 1317
   7.418607    0.938289   58
  25.386910    1.011547 1201
 354.143409   -0.333593 3097
 338.011919    0.276657 1306
 356.800110   -0.227470 3123
   6.580645   -0.194132 2246
 354.622101   -0.992749 3240
 337.039581   -0.410404 2952
 332.506140   -0.206311 2869
 335.881531    0.676426 1249
 358.858246    0.878941 1488
  11.814676    0.518596   99
  10.239518   -0.881712 1703
  30.932104   -0.866534 2435
  19.103857   -0.679198 1941
   4.995635    0.911860   40
 341.021332   -0.186990 2994
   6.461154   -0.412961 2246
 344.535400    0.489052 1366
 352.380670   -0.343392 3082
   7.757642   -0.833403 1679
 334.144531   -0.788600 2878
  24.484367   -0.648244 2698
   8.928729    0.528583   75
 352.118131   -0.957560 3077
 341.539947   -0.160211 3002
  18.058155   -1.081515 1979
  32.566406   -0.848186 2452
 349.298462   -0.988557 3061
  20.055835    0.719803  202
 337.148717    0.851373 1256
 337.919691   -0.866952 2962
 341.952972    0.200994 1333
  20.279615    0.442638  473
  30.734608    0.876711 1122
 345.655548    0.402964 1375
  22.923311   -1.057021 2602
  18.645008    0.326597  563
  21.965754   -0.521070 2166
 339.548218    0.989573 1310
 348.930695    0.530036 1398
  26.844620   -1.149696 2540
   4.267785   -0.921146 1647
   6.226386    0.402580   51
 344.893646   -0.007356 3032
   2.697433   -0.000704 1641
  14.144759   -0.716180 2061
 335.931641   -0.958301 2898
  25.706154    0.618442 1080
 347.711700    0.172225 1389
  14.264124    0.235623  151
  27.914629   -0.339733 2416
  34.893867   -0.052934 2465
   4.565652    0.609777   39
  35.671703   -0.296293 2470
   5.918850   -0.451526 1668
  34.680794    0.202709  847
  31.470505   -0.923848 2440
  13.501317   -0.605548 1731
  14.554619   -1.109484 2066
 338.537476    0.000470 1306
   4.659987    0.825428   40
  15.254217    0.655149  552
   4.712524   -0.666977 1658
 331.785462    0.831176 1210
  32.914661   -0.102026 2452
 354.652332   -0.827443 3240
  32.809122   -0.103197 2452
  18.102306   -0.141077 2076
  26.080423   -0.504108 2750
 350.693970    0.944258 1412
 336.396606   -0.095868 2905
  24.508731    0.618008  900
   4.310082   -0.518633 1652
 332.329224   -0.104577 2869
 342.618164    0.370750 1348
 341.926269   -0.933208 2998
 356.994483   -0.425884 3246
 357.741150   -0.869421 3126
  32.285347    0.855964  833
   9.285267    0.482173   75
 353.729736   -0.495842 3097
 332.068298    0.326877 1210
   3.326464    0.415078   27
  13.542853    0.316991  116
 354.716003   -0.395168 3105
   1.650222   -0.553446 1635
  14.934222   -1.039523 2066
  21.998285   -0.024265 2211
  16.566906    0.256664  212
  22.679035   -0.447278 2667
 356.313385   -0.349786 3245
 349.357228    0.614885 1403
 354.377869    0.327193 1447
   9.700140    0.150441   81
   9.500752   -0.985230 2266
  29.764673   -0.819582 2428
 355.450928   -0.946893 3111
 336.199646    0.422068 1249
  27.718615    0.010278  804
   8.235154    0.347423   68
 339.082398    0.721116 1309
 350.397766   -0.748797 3066
   6.954348    0.550056   57
  12.412984   -0.116502 1724
  21.122814   -0.062409 2384
  16.358481    0.698181  499
 356.210175   -0.448422 3118
 340.727631   -0.797133 2986
  15.283095    0.907590  395
  18.632974   -0.793589 1931
  26.875343    0.556472  893
  22.235550    1.042881  234
 352.954408   -0.151543 3091
  25.030653    0.135726  883
 348.812408   -0.888571 3055
  12.369577   -0.867725 1717
 331.486420    0.973192 1203
   1.757748    0.777918   14
  12.194901    0.936228  107
 336.686615    0.838884 1253
 355.318512    0.836674 1460
   8.983523    0.732158   75
 355.589813    0.337437 1460
  22.406772   -0.201940 2083
 334.153412    1.067144 1226
  10.578001    0.543628   86
 357.925507    0.114896 1477
 337.124369    0.332252 1253
   6.361681    0.752310   51
 341.953888   -0.964429 2998
 353.964644    0.834734 1447
   4.890524    1.010128   37
 354.875030    0.504801 1454
 337.492676   -0.837039 2908
  22.343622    0.215460  189
  25.925867   -0.959007 2553
 345.687012    0.749299 1377
  27.739676   -0.763186 2410
  21.353962    0.001119  135
 359.572468   -0.266748 3151
 344.932068    0.547365 1367
  32.046181   -1.040379 2444
  15.718675   -0.977476 2099
  24.088800    1.041112 1014
 356.215101   -0.069736 3123
  14.675429   -0.938710 2066
  17.200369    0.935375  388
  13.276931   -0.400066 1731
 338.234929   -0.003673 2971
  11.869885    0.672283   99
  23.623142   -0.280197 2564
   0.325568   -0.854086 1624
  16.451544    0.962049  494
 336.403839   -0.958967 2902
  11.926550    0.757575  105
  26.298967   -0.724711 2553
 343.986359   -0.358632 3024
 335.723938    0.355025 1243
 354.229248   -0.375631 3097
 353.620293    0.181188 1441
 359.838165    0.816341 1496
  30.785593    0.940590  826
   6.903511   -0.897764 1671
   6.942067   -0.362369 2246
  17.723400   -0.776163 1980
  17.214030    0.880766  388
  29.939383   -0.541229 2429
  29.516475    0.327357  814
 342.886688   -0.870538 3004
   5.589895   -0.912960 1659
 334.099182   -0.734979 2878
 359.994264    0.430958 1496
  19.384314    0.147301  559
 343.396149    0.102011 1354
   3.954512    0.292221   30
 355.365753   -0.563809 3113
 344.785641   -0.697897 3028
 357.989258    0.677610 1482
 338.011871    0.774949 1306
 345.348785   -0.629167 3032
  20.239225    0.486470  473
  10.617005    0.061076   86
 358.419895   -0.601281 3140
  28.376429    0.095503  808
 342.894989    0.791165 1348
   0.588001    0.363704    0
 356.719940    0.765472 1470
 353.160473    0.631356 1593
  29.581589    0.159721  814
 332.143901    0.996263 1210
  13.140972    0.530257  111
 349.235173   -0.378049 3062
   6.790549    0.505649   57
   4.092038   -0.125439 1652
 347.088379    0.217842 1384
 348.984436    0.973984 1397
 354.188446    0.766662 1447
  11.371558    0.098735   93
 340.832031    0.049026 1326
  13.618764    0.081096  116
   5.403053   -0.554038 1665
  15.525127   -1.207461 1829
  17.718421    0.773356  380
 349.777104   -0.817913 3063
 356.411163    0.655476 1466
   3.304597    0.752097   30
   4.029804    0.590570   36
  27.889208    0.458006  804
  23.728640   -0.445678 2829
  32.101121   -0.916301 2446
 338.203174   -0.484277 3161
  14.466313    0.328559  159
 350.042084   -0.306800 3064
 343.209351    0.658613 1354
  34.429212   -0.457802 2795
 343.078766   -0.605105 3014
 347.137421   -0.392342 3047
 340.957916   -0.608339 3172
 357.060211    0.756808 1470
   2.923949   -0.071913 1646
   6.874345    0.096880   57
 354.403381   -0.131185 3105
  25.351725    0.358242  933
  24.024818    0.733426 1024
 343.920105    0.319369 1354
  31.984392   -0.483588 2446
  16.662744   -0.443504 1805
 356.829559   -0.963954 3121
  22.526196   -0.153977 2667
  12.458844    0.209117  107
 334.992554    0.619201 1233
  24.387278   -0.901447 2699
   7.554530   -0.662336 1681
  10.726426    0.082683   86
 359.354504    0.664128 1491
 350.723724   -0.565197 3066
  17.426578    0.275170  291
 334.497711    0.515357 1233
 334.402246    0.272934 1229
  12.083056    0.168316   99
 336.340698    0.465503 1249
 342.356903   -0.337864 3004
  20.498238   -0.096948 2147
   9.122173    0.865922   75
  33.313435    0.216842  839
 351.871051   -0.725948 3079
 336.777114    0.720945 1253
  26.764406   -0.324439 2491
 334.532990    0.874928 1233
 333.713654    0.753749 1229
 344.111440   -0.445203 3024
 337.559399    0.729599 1302
  17.232136   -0.340683 1869
  25.989746   -0.771716 2553
 358.135418    0.495439 1482
 334.726135   -0.016331 2926
  33.066597    0.605918  839
  16.826971   -0.533385 1875
 338.112030    0.824724 1306
 340.681793   -0.608937 2986
   5.046818   -0.755198 1653
 345.449890   -0.637897 3032
   0.137769   -0.942157 1624
 351.316511    0.780528 1423
  34.459118   -0.508512 2465
  27.857630    0.392427  804
 331.879961   -0.821709 2868
 355.108871    0.151260 1454
 356.739211   -0.053930 3123
 357.339845   -0.987557 3126
 354.467316   -0.514920 3105
   8.006420    0.875169   68
   7.678780    0.795423   63
  16.550921    0.322263  212
  14.158400    0.479153  314
 341.931305   -0.585459 3002
 344.591797   -0.354133 3028
 354.068440   -0.657860 3097
   1.682121   -0.200084 1637
 355.939850   -0.349686 3118
 359.024910    0.881418 1488
  34.781883   -0.071536 2465
  19.650280    1.040102  202
 334.472961   -0.548594 2883
 332.964477    0.528088 1217
  33.138361   -0.353028 2453
 343.278770    0.632989 1354
  15.628207    0.895640  744
 335.255371   -0.620650 2889
 342.386932    0.684638 1340
  10.580864   -0.714243 1710
  14.820238    0.591273  280
 351.755005    0.360116 1423
  12.521809    0.041109  107
  30.901354   -0.696557 2435
  35.348961    0.226540  852
  30.018910    0.439942  816
  22.547859    1.117249  892
  15.735632    0.501291  183
  18.955150   -0.628528 1889
   1.527101    0.679094   14
 338.223206   -0.188733 2971
  18.507606   -1.090159 1973
 340.149822    0.975935 1317
  10.902090    0.093828   93
 343.120758    0.365892 1348
  19.195280    0.604457  277
 333.428613    0.672494 1224
 354.440417    0.552737 1447
 350.660379    0.848192 1415
  19.047621    0.009307  559
  12.464059   -0.890956 1717
  12.062746   -0.080832 1719
  16.464674   -0.188975 1807
  16.165302   -1.084194 1830
 353.417847   -0.561601 3091
   0.669257    0.107321    0
 336.224915   -0.764907 2898
   0.901964    0.319584    8
 351.360443    0.404539 1423
  12.467917   -0.799949 1717
 359.340973    0.898777 1491
   9.080072   -0.164524 1702
