# ra            dec         
  348.5944214   -0.837765   
  344.7928162   0.8510045   
  332.506134    -0.2063172  
  347.9165955   -0.0827523  
  343.3576965   -0.4917463  
  347.5015564   -0.7241776  
  11.3715582    0.0987348   
  338.2349243   -0.0036803  
  30.517292     0.6411319   
  333.4286194   0.6724893   
  343.611084    0.1306817   
  348.3003235   -0.2827588  
  334.4977112   0.5153566   
  345.2341003   -0.7937344  
  17.0945644    0.1966603   
  341.3871765   -0.0036343  
  344.7856445   -0.6978893  
  14.3429594    0.2790774   
  335.2117004   0.3331012   
  334.0428772   0.419978    
  339.2446594   -0.2201616  
  336.7126465   0.9834298   
  331.8800964   0.6715212   
  341.8167114   -0.521043   
  333.4638977   0.2199146   
  12.8724308    -0.6124405  
  339.5269775   -0.4042934  
  337.8278809   0.3643647   
  341.150238    0.1459606   
  13.2140818    0.8069401   
  332.9802856   0.6866608   
  334.342804    0.2777826   
  337.1028442   0.4795888   
  348.6761475   -0.1603354  
  337.3889465   -0.3106205  
  333.505188    -0.0366988  
  349.7770996   -0.8179129  
  348.6929321   -0.3685971  
  343.920105    0.3193686   
  344.5354004   0.4890519   
  334.4022522   0.2729324   
  332.7642212   -0.7528165  
  339.729187    0.1672286   
  339.9051819   0.6774885   
  348.760498    -0.2110537  
  346.7044678   0.8499887   
  343.2787781   0.6329783   
  332.5656433   -0.7778146  
  336.7991333   0.728678    
  333.5682373   -0.3515506  
  35.4951668    -0.1812582  
  339.6526489   0.125299    
  336.5541382   -0.5163425  
  346.6261597   -0.4546242  
  31.2617149    -0.2941875  
  338.0118713   0.7749254   
  342.9715881   0.2618247   
  28.185173     -0.3721877  
  340.834198    0.4873714   
  335.7046509   0.0845993   
  336.0066223   -0.7998016  
  12.2738743    -0.5142301  
  345.0506897   -0.2497335  
  343.7203064   0.806301    
  336.8924866   0.8965459   
  14.2470942    0.7285834   
  346.1426392   0.5824078   
  345.120697    -0.2943487  
  338.203186    -0.4842877  
  343.5498657   -0.8304373  
  11.3401289    -0.7827486  
  333.2145691   -0.708525   
  33.4801407    -0.9042208  
  342.6577759   0.9113287   
  345.8529358   0.2192771   
  347.4288025   -0.0907393  
  332.7158813   -0.8894688  
  19.0476208    0.0093066   
  339.4539795   -0.2605336  
  344.6179504   -0.421063   
  347.0823669   0.4393708   
  342.276123    0.83571     
  35.579567     -0.1884968  
  337.9751587   0.0610611   
  16.698452     0.4740328   
  34.7818832    -0.0715364  
  331.8798523   0.8038437   
  13.5762014    -0.7606689  
  338.2361145   -0.212955   
  331.989502    0.3382778   
  342.9572754   -0.4699253  
  335.7789001   0.5218319   
  11.0838175    0.178949    
  343.2656555   -0.6573057  
  332.0272522   0.8078247   
  346.2785339   -0.5821003  
  346.1860352   -0.3121408  
  12.274766     -0.5262005  
  345.8490295   0.2708965   
  334.6253357   0.0013616   
  332.2532349   0.3993517   
  335.9536438   -0.0651662  
  332.8676453   -0.5894952  
  18.9858513    0.021406    
  32.6798668    -0.3051351  
  347.2366943   0.2823562   
  346.2866821   0.7177328   
  333.5809021   -0.4448448  
  347.733429    -0.3298499  
  347.4677429   0.0034034   
  347.6830139   -0.6966459  
  17.8456001    -0.0435603  
  334.7840271   0.865585    
  339.4391785   -0.7221225  
  346.7984619   -0.2864768  
  339.5040894   -0.1941777  
  345.7245789   -0.7627357  
  342.1546326   -0.1944029  
  341.5852051   0.8946894   
  348.3244934   -0.289722   
  344.4985962   0.2793334   
  344.6174011   0.388874    
  343.1207581   0.3658915   
  345.8728943   -0.0803445  
  338.2232056   -0.1887326  
  343.7324829   0.5314982   
  343.1488953   -0.9203715  
  347.8228149   -0.6313546  
  337.1957397   -1.0255229  
  347.9778748   0.3460893   
  338.0883789   -0.716947   
  344.6617126   -0.5898109  
  332.5905762   -0.1334297  
  11.2198267    -0.1406167  
  343.928009    0.2385207   
  357.0891724   0.1859759   
  25.751255     0.8939787   
  5.5911751     -0.7486248  
  7.8237591     0.2847385   
  10.7968464    -0.142163   
  27.0375099    -0.9191211  
  13.10602      0.7141937   
  13.5945139    0.2711484   
  33.1295204    0.4599847   
  7.6401086     0.6602671   
  15.6150532    0.7205901   
  32.5026665    0.8398448   
  16.0720119    -0.3777143  
  22.4042797    -0.6533113  
  18.4167805    0.0327769   
  3.3802876     -0.2526192  
  18.3883076    -0.0058971  
  14.6745892    -0.9891589  
  17.6640224    -0.3910696  
  358.5688477   -0.2093164  
  351.4707031   0.2352566   
  354.1237793   -0.5306507  
  359.0249329   0.8814178   
  0.7197008     -0.0586067  
  0.9204397     0.4717716   
  4.5739145     -0.4497247  
  16.3649883    -0.4929668  
  351.8247986   0.0960518   
  22.5567799    0.0481983   
  9.4702845     0.0244736   
  21.97299      0.9228361   
  4.5779452     0.4525421   
  33.5737839    0.4473894   
  29.0969048    -0.4627326  
  6.8238206     -0.9739771  
  31.1055698    0.1601485   
  23.7704296    -0.6676116  
  6.5806599     -0.1941382  
  19.6635704    0.4653608   
  31.9265575    -0.8587581  
  9.9930067     -0.2307945  
  26.4884682    0.0537408   
  26.7644062    -0.3244385  
  24.5087471    0.6180245   
  12.9948721    0.17354     
  30.0116367    0.4259193   
  28.8675346    -0.8110495  
  10.7729626    0.4987547   
  2.0850503     -0.9653323  
  18.6317024    0.336675    
  349.235199    -0.3780399  
  28.6074448    0.8851731   
  358.5263062   -0.352937   
  26.217535     0.800476    
  3.2367954     -0.0038529  
  4.8450699     -0.8272622  
  31.9834309    -0.9383422  
  15.7356453    0.5012844   
  31.9586029    0.0688103   
  18.1566486    0.4589143   
  33.0776634    -0.0937407  
  352.3806763   -0.3433902  
  17.2140427    0.8807721   
  30.5457478    -0.3738223  
  4.0298038     0.5905762   
  22.2606335    -0.2943012  
  351.8710632   -0.7259514  
  357.3398438   -0.9875483  
  25.8680344    -0.8313334  
  23.9550781    0.282474    
  25.3956394    0.1069335   
  34.6238747    -0.8382031  
  9.4223156     0.0296802   
  4.3100939     -0.5186343  
  9.2852669     0.4821735   
